id,pr_ab,x,y,aet,cwd,tmin,ppt_djf,ppt_jja,pH,awc,depth,landform
715,0,-95417.13376,314240.1336,323.1133118,546.1400146,1.243299961,62.72570038,17.79409981,5.773341179,0.108370192,152,7
5680,0,98986.53555,-159415.1849,447.5567017,815.4033203,9.426699638,129.6405945,6.43170023,5.599999905,0.159999996,201,11
7907,0,121474.2565,-99463.44103,182.2832947,271.1799927,-4.949999809,150.7003021,11.22939968,0,0,0,15
1850,0,-39976.22077,-17456.10998,372.3866882,946.2932739,8.77670002,116.0235977,2.701999903,6.411795616,0.097194575,59.75992966,14
1702,0,111372.2614,-91404.04746,209.4566956,398.5499878,-4.033299923,164.9326935,9.268600464,0,0,0,15
10036,0,-255715.293,392228.9716,308.2999878,534.9533081,4.659999847,166.2220001,16.53100014,5.699999809,0.07765232,112.9983292,15
12384,0,-311764.5201,380213.2028,567.7366943,351.8067017,4.380000114,480.1741028,41.24940109,5.800000191,0.109999999,30,7
6513,0,111360.4637,-120228.7058,326.6832886,633.0599976,4.933300018,163.4662933,8.907899857,1.175263524,0.011559969,6.93598175,15
9884,0,-284325.8207,442135.5704,377.4332886,445.7033081,3.986700058,295.6706848,16.77129936,5.962059975,0.090000004,79.21138763,4
8651,0,137640.1705,-110537.7864,215.4933014,265.0567017,-4.623300076,180.3587952,9.565600395,0,0,0,10
9527,0,-289082.9282,410963.4302,471.0967102,522.5300293,4.756700039,294.5079956,14.4659996,6.5,0.109999999,152,6
5155,0,112494.6349,-172364.4775,393.9767151,652.5133057,3.03670001,172.8838959,9.838999748,5.599999905,0.150000006,201,10
1154,0,-8767.465456,-52226.07011,398.2267151,887.7833252,8.326700211,134.8538055,3.276299953,3.394265413,0.087593943,113.4060516,10
12197,0,-286644.7807,240178.8376,358.8666992,642.3099976,4.343299866,247.5265961,9.775799751,5.800000191,0.105551429,63.16970444,15
7974,0,121829.7176,-153952.4597,268.0733032,303.6600037,-3.539999962,255.8498993,13.13099957,0,0,0,10
9964,0,-306941.8123,399392.5642,579.1099854,299.5,4.800000191,559.8062134,47.13290024,6,0.07,107,11
10005,0,-287771.5574,428530.381,390.7999878,557.5333252,5.423299789,338.6702881,15.17420006,6.125099659,0.075003996,48.50599289,11
1888,0,-88482.27798,98571.42866,379.7867126,853.6566772,8.619999886,150.6936035,3.756700039,6.49052906,0.129999995,69.51530457,7
9364,0,-289157.0507,374603.2148,425.4200134,443.8299866,5.843299866,366.119812,19.12109947,6,0.07,98.85417175,2
12660,0,-222292.3648,356019.9439,440.3432922,400.5667114,2.839999914,253.719696,16.52700043,6.639663696,0.089039572,174.1022797,13
8117,0,124958.5962,-135244.1639,453.6433105,625.0432739,3.583300114,174.7127991,10.72679996,6.199999809,0.100000001,201,14
